	 Plot 35 (FL1-A/FSC-A)		
	P14		This Plot
	% of This Plot	Count	Count
A01	1.51%	339	22,401
A02	1.22%	271	22,223
A03	1.45%	322	22,226
A04	1.20%	267	22,183
A05	1.14%	252	22,199
A06	1.33%	296	22,286
A07	1.05%	233	22,139
A08	0.97%	215	22,278
A09	0.92%	206	22,273
A10	16.34%	3,517	21,522
A11	15.54%	3,335	21,461
A12	0.05%	12	23,099
B01	1.30%	290	22,340
B02	1.45%	318	21,999
B03	1.61%	358	22,196
B04	9.63%	2,085	21,660
B05	9.44%	2,052	21,737
B06	9.37%	2,041	21,791
B07	1.02%	226	22,109
B08	0.99%	217	21,842
B09	1.16%	258	22,166
B10	16.84%	3,553	21,094
B11	16.26%	3,474	21,368
B12	0.09%	21	23,260
C01	1.21%	271	22,401
C02	1.37%	303	22,118
C03	1.46%	324	22,158
C04	13.32%	2,844	21,345
C05	13.28%	2,827	21,290
C06	13.23%	2,836	21,432
C07	1.10%	241	21,936
C08	1.14%	254	22,221
C09	0.96%	212	22,077
C10	17.52%	3,697	21,100
C11	16.88%	3,546	21,002
C12	0.08%	19	23,042
D01	1.67%	375	22,446
D02	1.58%	349	22,079
D03	1.67%	372	22,265
D04	14.39%	3,072	21,350
D05	14.70%	3,124	21,247
D06	15.06%	3,217	21,361
D07	4.25%	913	21,504
D08	3.59%	777	21,670
D09	4.50%	974	21,629
D10	16.53%	3,514	21,261
D11	16.47%	3,488	21,183
D12	0.07%	16	23,201
E01	2.77%	619	22,363
E02	2.62%	588	22,421
E03	2.72%	604	22,181
E04	16.54%	3,497	21,142
E05	16.27%	3,462	21,277
E06	16.82%	3,568	21,217
E07	17.38%	3,686	21,213
E08	17.57%	3,732	21,235
E09	17.23%	3,650	21,187
E10	17.90%	3,793	21,185
E11	16.80%	3,554	21,161
E12	0.12%	27	23,330
F01	11.02%	2,426	22,017
F02	10.06%	2,205	21,912
F03	10.03%	2,189	21,821
F04	16.37%	3,488	21,313
F05	16.47%	3,494	21,216
F06	16.43%	3,491	21,250
F07	16.60%	3,524	21,223
F08	16.35%	3,463	21,174
F09	16.53%	3,534	21,376
F10	15.75%	3,328	21,131
F11	16.29%	3,437	21,097
F12	0.04%	9	23,134
G01	14.90%	3,217	21,588
G02	14.83%	3,173	21,397
G03	15.31%	3,254	21,252
G04	17.04%	3,581	21,011
G05	16.90%	3,562	21,083
G06	16.64%	3,504	21,061
G07	16.39%	3,475	21,202
G08	15.65%	3,302	21,094
G09	15.96%	3,371	21,121
G10	17.73%	3,734	21,055
G11	16.08%	3,388	21,074
G12	0.06%	13	23,144
H01	15.82%	3,387	21,411
H02	17.30%	3,647	21,086
H03	17.22%	3,645	21,166
H04	17.60%	3,695	20,992
H05	18.04%	3,796	21,047
H06	18.33%	3,834	20,912
H07	17.10%	3,579	20,924
H08	17.62%	3,714	21,084
H09	17.58%	3,694	21,016
H10	17.53%	3,689	21,044
H11	17.20%	3,612	21,001
H12	0.08%	19	23,122
