# Experiment_2020-09-01-085942: Experiment Data Table,,,,,,,,,,,,,,,,
Plate Name,Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
Plate_1LK05A1071,Blank (Diluent),SARS-COV2 S-2P,I01,1,,,141,,168,,19.73283864,,,,,
Plate_1LK05A1071,Blank (Diluent),SARS-COV2 S-2P,I02,1,,,158,,168,,19.73283864,,,,,
Plate_1LK05A1071,Blank (Diluent),SARS-COV2 S-2P,I03,1,,,205,,168,,19.73283864,,,,,
Plate_1LK05A1071,CAL1,SARS-COV2 S-2P,A02,1,,70,2133268,2133268,2165185,2165185,1.869947508,98.38771745,99.97391985,68.87140221,69.9817439,2.013994954
Plate_1LK05A1071,CAL1,SARS-COV2 S-2P,A03,1,,70,2210728,2210728,2165185,2165185,1.869947508,102.2391052,99.97391985,71.56737363,69.9817439,2.013994954
Plate_1LK05A1071,CAL1,SARS-COV2 S-2P,A01,1,,70,2151559,2151559,2165185,2165185,1.869947508,99.29493693,99.97391985,69.50645585,69.9817439,2.013994954
Plate_1LK05A1071,CAL2,SARS-COV2 S-2P,B03,1,,17.5,560779,560779,567157,567157.3333,1.642549315,99.59772429,100.7312081,17.42960175,17.62796143,1.643572736
Plate_1LK05A1071,CAL2,SARS-COV2 S-2P,B02,1,,17.5,562845,562845,567157,567157.3333,1.642549315,99.96476171,100.7312081,17.4938333,17.62796143,1.643572736
Plate_1LK05A1071,CAL2,SARS-COV2 S-2P,B01,1,,17.5,577848,577848,567157,567157.3333,1.642549315,102.6311384,100.7312081,17.96044923,17.62796143,1.643572736
Plate_1LK05A1071,CAL3,SARS-COV2 S-2P,C01,1,,4.375,135073,135073,135495,135495.3333,0.84818701,97.39304825,97.69258035,4.260945861,4.27405039,0.834383491
Plate_1LK05A1071,CAL3,SARS-COV2 S-2P,C02,1,,4.375,136796,136796,135495,135495.3333,0.84818701,98.61510027,97.69258035,4.314410637,4.27405039,0.834383491
Plate_1LK05A1071,CAL3,SARS-COV2 S-2P,C03,1,,4.375,134617,134617,135495,135495.3333,0.84818701,97.06959252,97.69258035,4.246794673,4.27405039,0.834383491
Plate_1LK05A1071,CAL4,SARS-COV2 S-2P,D03,1,,1.09375,34325,34325,33425,33425,2.483884876,101.16984,98.54966625,1.106545125,1.077886975,2.4527722
Plate_1LK05A1071,CAL4,SARS-COV2 S-2P,D02,1,,1.09375,33261,33261,33425,33425,2.483884876,98.07256644,98.54966625,1.072668695,1.077886975,2.4527722
Plate_1LK05A1071,CAL4,SARS-COV2 S-2P,D01,1,,1.09375,32689,32689,33425,33425,2.483884876,96.40659235,98.54966625,1.054447104,1.077886975,2.4527722
Plate_1LK05A1071,CAL5,SARS-COV2 S-2P,E01,1,,0.2734375,9499,9499,8989,8989.333333,5.021363705,112.3062757,106.1854249,0.307087473,0.290350771,5.105399021
Plate_1LK05A1071,CAL5,SARS-COV2 S-2P,E03,1,,0.2734375,8829,8829,8989,8989.333333,5.021363705,104.2610832,106.1854249,0.2850889,0.290350771,5.105399021
Plate_1LK05A1071,CAL5,SARS-COV2 S-2P,E02,1,,0.2734375,8640,8640,8989,8989.333333,5.021363705,101.9889158,106.1854249,0.278875942,0.290350771,5.105399021
Plate_1LK05A1071,CAL6,SARS-COV2 S-2P,F01,1,,0.068359375,2307,2307,2338,2338,1.972600951,99.20380115,100.7475559,0.067815098,0.0688704,2.279485905
Plate_1LK05A1071,CAL6,SARS-COV2 S-2P,F02,1,,0.068359375,2391,2391,2338,2338,1.972600951,103.3866904,100.7475559,0.070674495,0.0688704,2.279485905
Plate_1LK05A1071,CAL6,SARS-COV2 S-2P,F03,1,,0.068359375,2316,2316,2338,2338,1.972600951,99.65217622,100.7475559,0.068121605,0.0688704,2.279485905
Plate_1LK05A1071,CAL7,SARS-COV2 S-2P,G02,1,,0.017089844,726,726,804,804,12.64687479,76.92737019,93.04828277,0.013146767,0.015901806,22.56121104
Plate_1LK05A1071,CAL7,SARS-COV2 S-2P,G03,1,,0.017089844,919,919,804,804,12.64687479,116.7862899,93.04828277,0.019958594,0.015901806,22.56121104
Plate_1LK05A1071,CAL7,SARS-COV2 S-2P,G01,1,,0.017089844,767,767,804,804,12.64687479,85.43118818,93.04828277,0.014600057,0.015901806,22.56121104
Plate_1LK05A1071,CAL8,SARS-COV2 S-2P,H02,1,,0,376,376,371,370.6666667,3.218620534,,NaN,4.47E-04,NaN,NaN
Plate_1LK05A1071,CAL8,SARS-COV2 S-2P,H03,1,,0,357,357,371,370.6666667,3.218620534,,NaN,NaN,NaN,NaN
Plate_1LK05A1071,CAL8,SARS-COV2 S-2P,H01,1,,0,379,379,371,370.6666667,3.218620534,,NaN,5.63E-04,NaN,NaN
Plate_1LK05A1071,MSD 1.1,SARS-COV2 S-2P,J01,1,1,16.7,563632,563632,534275,534275,5.399862701,104.900015,99.43986646,17.5183025,16.6064577,5.395108461
Plate_1LK05A1071,MSD 1.1,SARS-COV2 S-2P,J03,1,1,16.7,533233,533233,534275,534275,5.399862701,99.24398115,99.43986646,16.57374485,16.6064577,5.395108461
Plate_1LK05A1071,MSD 1.1,SARS-COV2 S-2P,J02,1,1,16.7,505960,505960,534275,534275,5.399862701,94.17560323,99.43986646,15.72732574,16.6064577,5.395108461
Plate_1LK05A1071,MSD 1.2,SARS-COV2 S-2P,K03,1,1,4.13,127344,127344,122835,122835.3333,3.251297622,97.36081155,93.96903749,4.021001517,3.880921249,3.197285377
Plate_1LK05A1071,MSD 1.2,SARS-COV2 S-2P,K02,1,1,4.13,119742,119742,122835,122835.3333,3.251297622,91.64174631,93.96903749,3.784804123,3.880921249,3.197285377
Plate_1LK05A1071,MSD 1.2,SARS-COV2 S-2P,K01,1,1,4.13,121420,121420,122835,122835.3333,3.251297622,92.90455462,93.96903749,3.836958106,3.880921249,3.197285377
Plate_1LK05A1071,MSD 1.3,SARS-COV2 S-2P,L01,1,1,1.48,44898,44898,46110,46110,4.22278929,97.43517836,100.0246805,1.44204064,1.480365271,4.158889462
Plate_1LK05A1071,MSD 1.3,SARS-COV2 S-2P,L02,1,1,1.48,45076,45076,46110,46110,4.22278929,97.81575352,100.0246805,1.447673152,1.480365271,4.158889462
Plate_1LK05A1071,MSD 1.3,SARS-COV2 S-2P,L03,1,1,1.48,48356,48356,46110,46110,4.22278929,104.8231095,100.0246805,1.55138202,1.480365271,4.158889462
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,N04,1,364500,,2414,2414,2488,2487.5,4.17868128,,,26046.04549,26956.51397,4.776570414
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,C04,1,1500,,615442,615442,591992,591992,5.601985844,,,28696.61848,27601.5458,5.610796739
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,H04,1,13500,,63683,63683,63989,63988.5,0.675187328,,,27462.26132,27591.84167,0.66416113
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,M04,1,364500,,2561,2561,2488,2487.5,4.17868128,,,27866.98245,26956.51397,4.776570414
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,D04,1,1500,,568542,568542,591992,591992,5.601985844,,,26506.47312,27601.5458,5.610796739
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,O04,1,1093500,,1032,1032,1052,1052,2.68861894,,,26154.43068,26918.50695,4.014216054
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,J04,1,40500,,20780,20780,20319,20319,3.208585325,,,27264.84085,26663.48618,3.189545124
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,I04,1,40500,,19858,19858,20319,20319,3.208585325,,,26062.13152,26663.48618,3.189545124
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,K04,1,121500,,7599,7599,7565,7565,0.635601601,,,29717.94696,29581.65884,0.65155405
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,E04,1,4500,,195211,195211,190650,190650,3.383282485,,,27553.55636,26918.99566,3.333721548
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,F04,1,4500,,186089,186089,190650,190650,3.383282485,,,26284.43495,26918.99566,3.333721548
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,P04,1,1093500,,1072,1072,1052,1052,2.68861894,,,27682.58322,26918.50695,4.014216054
Plate_1LK05A1071,SARS-COV2-POS-3,SARS-COV2 S-2P,A04,1,500,,1699838,1699838,1608690,1608689.5,8.012947489,,,27047.60326,25531.14338,8.39992986
