Sample	Population	Graph	Path
118760.fcs		FSC-H:FSC-A	118760/9f2efd4c56f015a9a30130ebf37b40c1.png
118760.fcs	S	SSC-A:FSC-A	118760/a87fd399bb5eaa192c2ef229f87e96b0.png
118760.fcs	S/L	SSC-A:APC-A	118760/63947d0404e73a1cadb4f0a56655315d.png
118760.fcs	S/L	SSC-A:Alexa 680-A	118760/e1e25e68957d347334d1fd9e45b89f9a.png
118760.fcs	S/L	SSC-A:FITC-A	118760/cbcd7d72c00543eb2556d2c50e454186.png
118760.fcs	S/L	SSC-A:PE Cy55-A	118760/414c5b8e8f256f2514b3a6e193918dd3.png
118760.fcs	S/L	SSC-A:PE Cy7-A	118760/be8e7acbec4bf48e7af3c62ed641c0df.png
118760.fcs	S/L	SSC-A:PE Green laser-A	118760/0962f5a6cd996c7e72bac4b850cf8c51.png
118760.fcs	S/L	SSC-A:PE Tx RD-A	118760/dfe2085ee51474670b4a40daf406f998.png
118760.fcs	S/L	SSC-A:Pacific Blue-A	118760/dec8e8a1ecae1827adae34bfeb7e7c69.png
119043.fcs		FSC-H:FSC-A	119043/32cabaa4831dfefbac5a9c787b50149c.png
119043.fcs	S	<Pacific Blue-A>:FSC-A	119043/91d2144aa4fd0d6955bb8c14782517c0.png
119043.fcs	S/Lv	SSC-A:FSC-A	119043/afe027367c1ff303b9552d2595b62997.png
119043.fcs	S/Lv/L	<PE Cy55-A>:<PE Tx RD-A>	119043/2290f71d8f75f0330872b746e171e12f.png
119043.fcs	S/Lv/L/3+	<PE Cy55-A>:<FITC-A>	119043/73993ddde91d9aeebcad66881756e8ac.png
119043.fcs	S/Lv/L/3+/4+	SSC-A:<APC-A>	119043/59f50eeb24bb349625476923a7736ff6.png
119043.fcs	S/Lv/L/3+/4+	SSC-A:<Alexa 680-A>	119043/0113c98f3a2269f25655a0870d1f9543.png
119043.fcs	S/Lv/L/3+/4+	SSC-A:<PE Cy7-A>	119043/b1a567217913005e8657e76291e86c2e.png
119043.fcs	S/Lv/L/3+/4+	SSC-A:<PE Green laser-A>	119043/9ded8d5dd029deabba0847f0c79b82f3.png
119043.fcs	S/Lv/L/3+/8+	SSC-A:<APC-A>	119043/40531e48a029c3ee206026d336cd1da4.png
119043.fcs	S/Lv/L/3+/8+	SSC-A:<Alexa 680-A>	119043/ef447960f667ec39dea7fa5a64c3aee6.png
119043.fcs	S/Lv/L/3+/8+	SSC-A:<PE Cy7-A>	119043/099a89836d2e0b2e41db4ad74ee5cbf6.png
119043.fcs	S/Lv/L/3+/8+	SSC-A:<PE Green laser-A>	119043/32545b1a2734ce87af5eec0bc51909ef.png
