Current Date - 28-DEC-2010
Instrument Serial Number - GTI-110537
Software Name - ExpressPlus
Version Number - 3.6

,,,,,,,Plot 1,,RectRegion Position (Plot 1),,,,Elliptical Region Position (Plot 1),,,,,Histogram Marker Position (Plot 1),,Plot 2,,,Total Population (Plot 2),,,,,,,,,Quad Stat - LowerLeft Region (Plot 2),,,,,,,,,,Quad Stat - LowerRight Region (Plot 2),,,,,,,,,,Quad Stat - UpperLeft Region (Plot 2),,,,,,,,,,Quad Stat - UpperRight Region (Plot 2),,,,,,,,,,QuadStat Marker Position (Plot 2),,,,Histogram - Marker 1 Region (Plot 2),,,,,,,Marker 1 Position (Plot 2),,Histogram - Marker 2 Region (Plot 2),,,,,,,Marker 2 Position (Plot 2),,Histogram - Marker 3 Region (Plot 2),,,,,,,Marker 3 Position (Plot 2),,Plot 2 Region Stats,,,,,,,,,,RectRegion Position (Plot 2),,,,Elliptical Region Position (Plot 2),,,,,Plot 3,,,Total Population (Plot 3),,,,,,,,,Quad Stat - LowerLeft Region (Plot 3),,,,,,,,,,Quad Stat - LowerRight Region (Plot 3),,,,,,,,,,Quad Stat - UpperLeft Region (Plot 3),,,,,,,,,,Quad Stat - UpperRight Region (Plot 3),,,,,,,,,,QuadStat Marker Position (Plot 3),,,,Histogram - Marker 1 Region (Plot 3),,,,,,,Marker 1 Position (Plot 3),,Histogram - Marker 2 Region (Plot 3),,,,,,,Marker 2 Position (Plot 3),,Histogram - Marker 3 Region (Plot 3),,,,,,,Marker 3 Position (Plot 3),,Plot 3 Region Stats,,,,,,,,,,RectRegion Position (Plot 3),,,,Elliptical Region Position (Plot 3),,,,,,,,,,,,,,Voltages,,,,Compensation,,,,,,,,,,,,,
Sample Number,Sample ID,Number of Events,Termination Count,Count Gate,Dilution Factor,Original Volume,Type,Axis,X1,X2,Y1,Y2,X Center,Y Center,Major Axis,Minor Axis,Angle,Lower Bound,Upper Bound,Type,Axis,Gated On,Count,% of All Events,Cells/mL,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,X,Y,Angle 1,Angle 2,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,X1,X2,Y1,Y2,X Center,Y Center,Major Axis,Minor Axis,Angle,Type,Axis,Gated On,Count,% of All Events,Cells/mL,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,X,Y,Angle 1,Angle 2,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,Lower Bound,Upper Bound,Count,Cells/mL,% of Total Cells,% of Gated Cells,x - Mean,x - Median,x - %CV,y - Mean,y - Median,y - %CV,X1,X2,Y1,Y2,X Center,Y Center,Major Axis,Minor Axis,Angle,Cells/µL,Total Volume (µL),Acquisition Time (s),Date of Acquisition,Time of Acquisition,Date of Analysis,Time of Analysis,FSC Gain,FSC Fine Gain,SSC,GRN,YLW,RED,GRN - %YLW,YLW - %GRN,YLW - %RED,RED - %YLW,GRN - %RED,RED - %GRN,Threshold Parameter,Threshold Value,Flow Rate (µL/s),High Concentration Warning Trigger,# of Errors & Warnings,User Login Name,User Full Name, WorkList,
 1, B01, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 2271, 45.42, 904384.88, 10.66, 10.31, 42.91, 1.45, 1.35, 31.17, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 2271, 45.42, 904384.88, 10.66, 10.31, 42.91, 493.71, 459.33, 50.07, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2271, 904384.88, 45.42, 100.00, 10.66, 10.31, 42.91, 493.71, 459.33, 50.07, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 199.12, 25.11, 42.6, 28-DEC-2010, 11:41:45, 28-DEC-2010 , 13:15:00 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 2, B02, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3157, 63.14, 2053673.88, 9.37, 9.01, 43.68, 1.52, 1.40, 32.15, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3157, 63.14, 2053673.88, 9.37, 9.01, 43.68, 352.84, 330.69, 53.65, 5, 3252.57, 0.10, 0.16, 5.48, 5.69, 48.86, 30.97, 35.67, 43.80, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3152, 2050421.25, 63.04, 99.84, 9.37, 9.01, 43.64, 353.35, 330.89, 53.49, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 325.26, 15.37, 26.1, 28-DEC-2010, 11:42:50, 28-DEC-2010 , 13:15:09 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 3, B03, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3269, 65.38, 2272725.50, 10.58, 9.38, 412.58, 1.48, 1.38, 31.05, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3269, 65.38, 2272725.50, 10.58, 9.38, 412.58, 412.38, 380.26, 51.55, 1, 695.24, 0.02, 0.03, 4.82, 4.82, 0.00, 40.91, 40.91, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3265, 2269944.75, 65.30, 99.88, 9.69, 9.38, 44.36, 411.68, 380.29, 49.97, 3, 2085.71, 0.06, 0.09, 978.51, 234.93, 132.37, 1304.71, 350.58, 143.78, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 347.62, 14.38, 24.4, 28-DEC-2010, 11:43:52, 28-DEC-2010 , 13:15:09 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 4, B04, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 2396, 47.92, 988611.13, 11.71, 9.88, 468.67, 1.44, 1.33, 29.71, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 2396, 47.92, 988611.13, 11.71, 9.88, 468.67, 493.55, 464.12, 47.63, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2394, 987785.88, 47.88, 99.92, 10.44, 9.87, 45.70, 492.18, 464.03, 46.03, 2, 825.22, 0.04, 0.08, 1534.61, 1534.61, 103.40, 2131.97, 2131.97, 95.76, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 206.30, 24.24, 41.1, 28-DEC-2010, 11:44:58, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 5, B05, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3227, 64.54, 1657572.25, 13.23, 10.33, 596.56, 1.36, 1.25, 28.93, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3227, 64.54, 1657572.25, 13.23, 10.33, 596.56, 538.50, 510.68, 49.20, 1, 513.66, 0.02, 0.03, 5.19, 5.19, 0.00, 26.52, 26.52, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3219, 1653463.00, 64.38, 99.75, 10.68, 10.33, 41.40, 535.98, 510.47, 46.55, 7, 3595.60, 0.14, 0.22, 1186.46, 234.92, 110.78, 1767.45, 672.50, 90.32, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 256.83, 19.47, 33.0, 28-DEC-2010, 11:45:55, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 6, B06, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 2863, 57.26, 2129428.75, 9.95, 9.65, 42.50, 1.37, 1.28, 27.51, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 2863, 57.26, 2129428.75, 9.95, 9.65, 42.50, 479.46, 449.10, 47.43, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2863, 2129428.75, 57.26, 100.00, 9.95, 9.65, 42.50, 479.46, 449.10, 47.43, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 371.89, 13.44, 22.8, 28-DEC-2010, 11:46:42, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 7, B07, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3257, 65.14, 1971338.38, 10.05, 9.02, 321.69, 1.33, 1.23, 26.70, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3257, 65.14, 1971338.38, 10.05, 9.02, 321.69, 420.07, 370.05, 51.74, 1, 605.26, 0.02, 0.03, 6.82, 6.82, 0.00, 37.35, 37.35, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3252, 1968312.00, 65.04, 99.85, 9.42, 9.01, 45.06, 419.53, 369.78, 51.13, 4, 2421.05, 0.08, 0.12, 515.76, 80.76, 170.42, 949.54, 517.87, 103.88, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 302.63, 16.52, 28.0, 28-DEC-2010, 11:47:35, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 8, B08, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3265, 65.30, 2191469.25, 10.71, 10.17, 52.18, 1.33, 1.22, 27.94, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3265, 65.30, 2191469.25, 10.71, 10.17, 52.18, 526.24, 485.09, 49.63, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3263, 2190126.75, 65.26, 99.94, 10.65, 10.17, 44.77, 526.25, 485.09, 49.64, 2, 1342.40, 0.04, 0.06, 110.74, 110.74, 79.48, 524.30, 524.30, 53.13, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 335.60, 14.90, 25.3, 28-DEC-2010, 11:48:24, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
 9, B09, 5000, 5000, All Events, 10.00, 10.00, DotPlot, Forward Scatter (FSC-HLin) vs Side Scatter (SSC-HLin), ---, ---, ---, ---, 2386, 1036, 428, 852, -46, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Green Fluorescence (GRN-HLog), Plot 1, 3279, 65.58, 920807.69, 10.55, 10.17, 44.22, 1.33, 1.22, 39.72, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, DotPlot, Yellow Fluorescence (YLW-HLog) vs Red Fluorescence (RED-HLog), Plot 1, 3279, 65.58, 920807.69, 10.55, 10.17, 44.22, 513.75, 466.05, 49.39, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3278, 920526.81, 65.56, 99.97, 10.54, 10.17, 43.91, 513.85, 466.10, 49.38, 1, 280.82, 0.02, 0.03, 44.58, 44.58, 0.00, 186.00, 186.00, 0.00, 28, 42, 15, 0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, 140.41, 35.61, 60.4, 28-DEC-2010, 11:49:49, 28-DEC-2010 , 13:15:10 , 16, 148%, 447, 730, 682, 692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, FSC-HLin, 318, 0.59, 500, 0, GUAVAF4DVZB1\GTI, GTI,C:\Documents and Settings\GTI\My Documents\Adam\122810.gwl,
