Date - 18-DEC-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number - 7200150742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name - Count & Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number - 1.5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For Research Use Only. Not for use in diagnostic procedures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cell Count Information,,Cell Concentration Information(cells/mL),,% of Total Information,,Mean Fluorescence (YEL) Information,,Median Fluorescence (YEL) Information,,%CV Fluorescence (YEL) Information,,Mean Fluorescence (RED) Information,,Median Fluorescence (RED) Information,,%CV Fluorescence (RED) Information,,Mean (FSC) Information,,Median (FSC) Information,,%CV (FSC) Information,,,,,,,,,,,Viability Marker,,,,,,,,,,,,,,,,,,
 Sample No., Sample ID, Number of Events, Dilution Factor, Original Volume, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Total Cell Concentration (cells/mL), Total Viable Cells in Original Sample, Total Dead Cells in Original Sample, Total Cells in Original Sample, FSC Count, RED Count, Viable Cell Count, Nucleated Cell Count, Dead Cell Count, X1, Angle 1, Cells/�L, Total Volume Acquired (�L), Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, FSC Gain, YEL Gain, RED Gain, FSC Threshold, YEL Threshold, RED Threshold, Flow Rate (�L/sec), User Login Name, User Full Name,
1, 541001 v 11,1000,20,5,959,41,4790520.5,204808.48,95.9,4.1,2,107.52,1.91,97.84,42.36,78.17,172.87,251.8,159.43,203.22,34.46,45.9,580.17,285.6,567.03,277.93,20.75,46.54,4995329,23952602,1024042.44,24976645,1000,1006,959,1000,41,0.1034,40.97,251.27,4,6.79, 04-DEC-2017, 15:40:00, 04-DEC-2017, 15:40:00,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
2,541003 v 11,1000,20,5,954,46,4966060,239453.63,95.4,4.6,2.01,117.54,1.91,95.06,37.85,85.03,181.6,291.45,164.74,216.64,37.41,57.42,593.81,320,588.43,292.9,23.06,45.65,5205513.5,24830300,1197268.13,26027567.5,1000,1002,954,1000,46,0.1034,40.97,260.8,3.84,6.51, 04-DEC-2017, 15:42:14, 04-DEC-2017, 15:42:14,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
3,541002 v 11,1000,20,5,910,90,3656211.25,361603.31,91,9,1.98,126.82,1.89,123.29,36.79,84.69,171.57,284.5,160.31,267.64,35.7,64.76,561.83,296.27,558.8,285.71,24.08,48.78,4017814.75,18281056,1808016.63,20089073.75,1000,1006,910,1000,90,0.1034,40.97,202.1,4.98,8.44, 04-DEC-2017, 15:43:24, 04-DEC-2017, 15:43:24,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
4,541005 v 11,1000,20,5,938,62,4635074.5,306369.53,93.8,6.2,2,149.19,1.92,153.5,36.3,54.09,179.4,329.82,169.59,357.25,35.74,34.72,581.34,314.55,576.55,274.87,24.29,44.22,4941444,23175372,1531847.63,24707220,1000,1006,938,1000,62,0.1034,40.97,248.55,4.05,6.86, 04-DEC-2017, 15:44:24, 04-DEC-2017, 15:44:24,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
5,541035 v11,1000,20,5,942,58,4217142.5,259654.2,94.2,5.8,2.05,104.49,1.91,68.29,53.53,85.11,180.94,260.98,165.55,204.09,42.76,49.76,588.74,317.22,576.22,268.69,27.63,46.48,4476796.5,21085712,1298271,22383982.5,1000,1004,942,1000,58,0.1034,40.97,224.74,4.47,7.57, 04-DEC-2017, 15:45:16, 04-DEC-2017, 15:45:16,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
6, 541022 v 11,1000,20,5,960,40,3705576.25,154399.02,96,4,2.09,122.61,1.93,131.12,47.56,73.09,190.13,283.25,172.32,290.44,44.08,48.34,605.58,303.98,589.06,276.94,27.49,47.77,3859975.25,18527882,771995.06,19299876.25,1000,1011,960,1000,40,0.1034,40.97,195.12,5.18,8.78, 04-DEC-2017, 15:46:07, 04-DEC-2017, 15:46:07,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
31, FH15 - RAC277078,1000,20,5,963,37,5742140,220622.19,96.3,3.7,2.03,137.3,1.94,128.49,37.85,70.64,189.44,308.38,169.39,326.24,32.76,48.05,575.27,257.12,555.2,246.21,21.35,46.59,5962762,28710700,1103111,29813810,1000,1002,963,1000,37,0.1034,40.97,298.73,3.35,5.68, 04-DEC-2017, 16:12:08, 04-DEC-2017, 16:12:08,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
32, Comp - RAC0096,1000,20,5,965,35,6840624,248105.53,96.5,3.5,2.03,136.38,1.91,133.3,35.88,69.66,180.6,301.11,168.58,303.36,32.5,44.16,573.08,343.87,562.45,300.88,21.01,39.69,7088729.5,34203120,1240527.63,35443647.5,1000,1002,965,1000,35,0.1034,40.97,355.15,2.82,4.78, 04-DEC-2017, 16:13:50, 04-DEC-2017, 16:13:50,3,4.6,2.3,88,0,43,0.59, GST, Guest, 
